source,question,answer,img_id,question_norm,question_type,answer_type
Ulcerative Colitis,What type of polyp is present?,none,cla820gmks5wf071ubx9nhyo8,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmks5wf071ubx9nhyo8,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmks5wf071ubx9nhyo8,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmks5wf071ubx9nhyo8,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is there text?,yes,cla820gmks5wf071ubx9nhyo8,is there text,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmks5wf071ubx9nhyo8,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmks5wf071ubx9nhyo8,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmks5wf071ubx9nhyo8,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmks5wf071ubx9nhyo8,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmks5wf071ubx9nhyo8,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What type of polyp is present?,none,cla820gmks5wj071ufomv96u5,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmks5wj071ufomv96u5,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,How many findings are present?,1,cla820gmks5wj071ufomv96u5,how many findings are present,Counting,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gmks5wj071ufomv96u5,is there text,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmks5wj071ufomv96u5,where in the image is the abnormality,Location,List
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmks5wj071ufomv96u5,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmks5wj071ufomv96u5,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmks5wj071ufomv96u5,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmks5wj071ufomv96u5,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmks5wj071ufomv96u5,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmks5wj071ufomv96u5,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmks5wj071ufomv96u5,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmks5wj071ufomv96u5,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow; white,cla820gmks5wj071ufomv96u5,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmks5wj071ufomv96u5,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmks5wj071ufomv96u5,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmks5wj071ufomv96u5,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmks5wn071u8uoz7uq7,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmks5wn071u8uoz7uq7,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmks5wn071u8uoz7uq7,how many findings are present,Counting,Numeric
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmks5wn071u8uoz7uq7,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmks5wn071u8uoz7uq7,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmks5wn071u8uoz7uq7,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmks5wn071u8uoz7uq7,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmks5wn071u8uoz7uq7,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmks5wn071u8uoz7uq7,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gmks5wn071u8uoz7uq7,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmks5wn071u8uoz7uq7,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gmks5wn071u8uoz7uq7,is there text,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmks5wn071u8uoz7uq7,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmks5wn071u8uoz7uq7,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,What type of polyp is present?,none,cla820gmks5wn071u8uoz7uq7,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmks5wn071u8uoz7uq7,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmks5wn071u8uoz7uq7,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmks5wr071u4vun8yst,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,How many findings are present?,1,cla820gmks5wr071u4vun8yst,how many findings are present,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmks5wr071u4vun8yst,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmks5wr071u4vun8yst,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmks5wr071u4vun8yst,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is there text?,yes,cla820gmks5wr071u4vun8yst,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmks5wr071u4vun8yst,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmks5wr071u4vun8yst,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmks5wr071u4vun8yst,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmks5wr071u4vun8yst,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmks5wr071u4vun8yst,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmks5wr071u4vun8yst,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; grey; white,cla820gmks5wr071u4vun8yst,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gmks5wr071u4vun8yst,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmks5wr071u4vun8yst,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmks5wr071u4vun8yst,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmks5wr071u4vun8yst,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmks5wv071u35op55hi,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmks5wv071u35op55hi,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,How many findings are present?,1,cla820gmks5wv071u35op55hi,how many findings are present,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmks5wv071u35op55hi,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmks5wv071u35op55hi,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmks5wv071u35op55hi,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmks5wv071u35op55hi,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmks5wv071u35op55hi,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmks5wv071u35op55hi,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; white,cla820gmks5wv071u35op55hi,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmks5wv071u35op55hi,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmks5wv071u35op55hi,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is there text?,yes,cla820gmks5wv071u35op55hi,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmks5wv071u35op55hi,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmks5wv071u35op55hi,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmks5wv071u35op55hi,where in the image is the abnormality,Location,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gmks5wv071u35op55hi,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5wz071u2rajex2s,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5wz071u2rajex2s,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5wz071u2rajex2s,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmls5wz071u2rajex2s,how many findings are present,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5wz071u2rajex2s,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5wz071u2rajex2s,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5wz071u2rajex2s,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5wz071u2rajex2s,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gmls5wz071u2rajex2s,is there text,Yes/No,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5wz071u2rajex2s,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5wz071u2rajex2s,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5wz071u2rajex2s,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5wz071u2rajex2s,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow; white,cla820gmls5wz071u2rajex2s,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmls5wz071u2rajex2s,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5wz071u2rajex2s,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmls5wz071u2rajex2s,where in the image is the abnormality,Location,List
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmls5x3071uarebhqit,where in the image is the abnormality,Location,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gmls5x3071uarebhqit,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5x3071uarebhqit,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gmls5x3071uarebhqit,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5x3071uarebhqit,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5x3071uarebhqit,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5x3071uarebhqit,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5x3071uarebhqit,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5x3071uarebhqit,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmls5x3071uarebhqit,how many findings are present,Counting,Numeric
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5x3071uarebhqit,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5x3071uarebhqit,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmls5x3071uarebhqit,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5x3071uarebhqit,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5x3071uarebhqit,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5x3071uarebhqit,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5x3071uarebhqit,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5x7071u05un80ef,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5x7071u05un80ef,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmls5x7071u05un80ef,how many findings are present,Counting,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow; white,cla820gmls5x7071u05un80ef,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gmls5x7071u05un80ef,where in the image is the abnormality,Location,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5x7071u05un80ef,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5x7071u05un80ef,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5x7071u05un80ef,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5x7071u05un80ef,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5x7071u05un80ef,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5x7071u05un80ef,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5x7071u05un80ef,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5x7071u05un80ef,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5x7071u05un80ef,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5x7071u05un80ef,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gmls5x7071u05un80ef,is there text,Yes/No,Yes/No
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gmls5x7071u05un80ef,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5xb071u9njcamwn,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5xb071u9njcamwn,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5xb071u9njcamwn,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5xb071u9njcamwn,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5xb071u9njcamwn,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5xb071u9njcamwn,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gmls5xb071u9njcamwn,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5xb071u9njcamwn,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5xb071u9njcamwn,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5xb071u9njcamwn,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gmls5xb071u9njcamwn,where in the image is the abnormality,Location,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow; white,cla820gmls5xb071u9njcamwn,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there text?,yes,cla820gmls5xb071u9njcamwn,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many findings are present?,1,cla820gmls5xb071u9njcamwn,how many findings are present,Counting,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5xb071u9njcamwn,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5xb071u9njcamwn,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5xb071u9njcamwn,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gmls5xf071u5v8va9fa,where in the image is the abnormality,Location,List
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5xf071u5v8va9fa,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5xf071u5v8va9fa,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5xf071u5v8va9fa,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gmls5xf071u5v8va9fa,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there text?,no,cla820gmls5xf071u5v8va9fa,is there text,Yes/No,Yes/No
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5xf071u5v8va9fa,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5xf071u5v8va9fa,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gmls5xf071u5v8va9fa,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,How many findings are present?,1,cla820gmls5xf071u5v8va9fa,how many findings are present,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5xf071u5v8va9fa,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5xf071u5v8va9fa,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5xf071u5v8va9fa,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5xf071u5v8va9fa,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5xf071u5v8va9fa,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5xf071u5v8va9fa,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5xf071u5v8va9fa,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gmls5xj071uarbihlni,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5xj071uarbihlni,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5xj071uarbihlni,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5xj071uarbihlni,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5xj071uarbihlni,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5xj071uarbihlni,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmls5xj071uarbihlni,how many findings are present,Counting,Numeric
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5xj071uarbihlni,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is there text?,yes,cla820gmls5xj071uarbihlni,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5xj071uarbihlni,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5xj071uarbihlni,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5xj071uarbihlni,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5xj071uarbihlni,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5xj071uarbihlni,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gmls5xj071uarbihlni,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gmls5xj071uarbihlni,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5xj071uarbihlni,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gmls5xn071uc5g3czha,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gmls5xn071uc5g3czha,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5xn071uc5g3czha,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5xn071uc5g3czha,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gmls5xn071uc5g3czha,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5xn071uc5g3czha,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gmls5xn071uc5g3czha,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gmls5xn071uc5g3czha,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5xn071uc5g3czha,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gmls5xn071uc5g3czha,where in the image is the abnormality,Location,List
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gmls5xn071uc5g3czha,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gmls5xn071uc5g3czha,how many findings are present,Counting,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; yellow; white,cla820gmls5xn071uc5g3czha,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gmls5xn071uc5g3czha,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gmls5xn071uc5g3czha,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5xn071uc5g3czha,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gmls5xn071uc5g3czha,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gmls5xr071uhyv8887o,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gmls5xr071uhyv8887o,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gmls5xr071uhyv8887o,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gmls5xr071uhyv8887o,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gmls5xr071uhyv8887o,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
