split,img_id,image_path,question,answer,question_type,answer_type,orig_height,orig_width
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Have all polyps been removed?,not relevant,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,How many polyps are in the image?,0,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,What type of polyp is present?,none,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Is there text?,yes,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,How many findings are present?,1,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,What is the size of the polyp?,none,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Is there a green/black box artefact?,no,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,Where in the image is the anatomical landmark?,none,,,576,720
test,cla820gmqs657071ufz9n5xs7,out/images/raw/cla820gmqs657071ufz9n5xs7.jpg,How many instrumnets are in the image?,0,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,How many findings are present?,1,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Are there any abnormalities in the image? Check all that are present.,polyp; ulcerative colitis,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Is there text?,yes,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,What is the size of the polyp?,>20mm,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Is this finding easy to detect?,yes,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Have all polyps been removed?,no,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,How many polyps are in the image?,1,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Where in the image is the anatomical landmark?,none,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,How many instrumnets are in the image?,0,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,Is there a green/black box artefact?,yes,,,576,720
test,cla820gmqs65b071u8uo82ra7,out/images/raw/cla820gmqs65b071u8uo82ra7.jpg,What type of polyp is present?,paris ip,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Is this finding easy to detect?,yes,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,What type of polyp is present?,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Where in the image is the instrument?,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,How many polyps are in the image?,0,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Where in the image is the anatomical landmark?,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Is there text?,yes,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Have all polyps been removed?,not relevant,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,How many instrumnets are in the image?,0,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,What is the size of the polyp?,none,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,Is there a green/black box artefact?,no,,,576,720
validation,cla820gmqs65f071ubmlm8ia9,out/images/raw/cla820gmqs65f071ubmlm8ia9.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Is there text?,no,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Is there a green/black box artefact?,yes,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmqs65j071u3fib56er,out/images/raw/cla820gmqs65j071u3fib56er.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Is there text?,yes,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmqs65n071u0wmf7n3d,out/images/raw/cla820gmqs65n071u0wmf7n3d.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Where in the image is the anatomical landmark?,center; lower-left; upper-center; upper-left,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Are there any anatomical landmarks in the image? Check all that are present.,cecum,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Is there text?,yes,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmqs65r071uc9zodhx6,out/images/raw/cla820gmqs65r071uc9zodhx6.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,What color is the abnormality? If more than one separate with ;,pink; red; white,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Is there text?,yes,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gmqs65v071ubbawf0bx,out/images/raw/cla820gmqs65v071ubbawf0bx.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Is there a green/black box artefact?,yes,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,How many findings are present?,1,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Is there text?,no,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,What color is the abnormality? If more than one separate with ;,pink; red; white,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmqs65z071uaj197630,out/images/raw/cla820gmqs65z071uaj197630.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Is there text?,yes,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,How many findings are present?,1,,,576,720
train,cla820gmrs663071uduamb53p,out/images/raw/cla820gmrs663071uduamb53p.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Is there text?,yes,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,How many findings are present?,1,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmrs667071uab1of9e2,out/images/raw/cla820gmrs667071uab1of9e2.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Is there text?,yes,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,What type of polyp is present?,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,How many findings are present?,1,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Is there a green/black box artefact?,yes,,,576,720
train,cla820gmrs66b071u9rag0g8i,out/images/raw/cla820gmrs66b071u9rag0g8i.jpg,Where in the image is the anatomical landmark?,none,,,576,720
validation,cla820gmrs66f071u2e0m0unl,out/images/raw/cla820gmrs66f071u2e0m0unl.jpg,How many polyps are in the image?,0,,,576,720
validation,cla820gmrs66f071u2e0m0unl,out/images/raw/cla820gmrs66f071u2e0m0unl.jpg,What type of polyp is present?,none,,,576,720
validation,cla820gmrs66f071u2e0m0unl,out/images/raw/cla820gmrs66f071u2e0m0unl.jpg,Where in the image is the anatomical landmark?,none,,,576,720
