source,question,answer,img_id
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Is there text?,yes,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn5s6l3071ugdoc9ujy
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; brown,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Is there text?,no,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6l7071u8vv754ln
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,brown; red,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Is there text?,yes,cla820gn5s6lb071ugv6jabuo
Ulcerative Colitis,Is there text?,no,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6lf071ufahb4qov
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow; orange,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Is there text?,yes,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6lj071ughv62ynq
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Is there text?,yes,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6ln071u0vyk3pkt
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Is there text?,yes,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,What type of polyp is present?,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,How many findings are present?,1,cla820gn5s6lr071u6oieammx
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Is there text?,yes,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow,cla820gn6s6lv071u6ibw16sz
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Is there text?,yes,cla820gn6s6lz071u7srk70v5
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Is there text?,yes,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6m3071uc9mp6sji
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Is there text?,yes,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6m7071u55bo4ffs
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Is there text?,yes,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6mb071u3iwgd8n2
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; orange,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Is there text?,yes,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mf071uftqbgg3l
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Is there text?,yes,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6mj071ufu065dcx
Ulcerative Colitis,Is there text?,yes,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; yellow,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mn071u60h6fss6
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; orange; brown,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Is there text?,no,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gn6s6mr071u3jesgrht
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; orange,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,What type of polyp is present?,none,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Is there text?,yes,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,What is the size of the polyp?,none,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,How many polyps are in the image?,0,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,How many findings are present?,1,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gn6s6mv071uewiqd3xo
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gn6s6mv071uewiqd3xo
